Category Name,Zikar Name,Arabic,Translation,Benefit Text,Illustration
Quranic Supplications,(no name),رَبَّنَا آمَنَّا بِمَا أَنْزَلْتَ وَاتَّبَعْنَا الرَّسُولَ فَاكْتُبْنَا مَعَ الشَّاهِدِينَ,"“Our Lord! We believe in Your revelations and follow the messenger, so count us among those who bear witness”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا اغْفِرْ لَنَا ذُنُوبَنَا وَإِسْرَافَنَا فِي أَمْرِنَا وَثَبِّتْ أَقْدَامَنَا وَانْصُرْنَا عَلَى الْقَوْمِ الْكَافِرِينَ,"“Our Lord! Forgive our sins and excesses, make our steps firm, and grant us victory over the disbelieving people”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا مَا خَلَقْتَ هَٰذَا بَاطِلًا سُبْحَانَكَ فَقِنَا عَذَابَ النَّارِ، رَبَّنَا إِنَّكَ مَنْ تُدْخِلِ النَّارَ فَقَدْ أَخْزَيْتَهُ وَمَا لِلظَّالِمِينَ مِنْ أَنْصَارٍ، رَبَّنَا إِنَّنَا سَمِعْنَا مُنَادِيًا يُنَادِي لِلْإِيمَانِ أَنْ آمِنُوا بِرَبِّكُمْ فَآمَنَّا، رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا وَكَفِّرْ عَنَّا سَيِّئَاتِنَا وَتَوَفَّنَا مَعَ الْأَبْرَارِ، رَبَّنَا وَآتِنَا مَا وَعَدْتَنَا عَلَى رُسُلِكَ وَلَا تُخْزِنَا يَوْمَ الْقِيَامَةِ إِنَّكَ لَا تُخْلِفُ الْمِيعَادَ,"“Our Lord! You have not created ˹all of˺ this without purpose. Glory be to You! Protect us from the torment of the Fire.Our Lord! Indeed, those You commit to the Fire will be ˹completely˺ disgraced! And the wrongdoers will have no helpers.Our Lord! We have heard the caller to ˹true˺ belief, ˹proclaiming,˺ ‘Believe in your Lord ˹alone˺,’ so we believed. Our Lord! Forgive our sins, absolve us of our misdeeds, and join us with the virtuous when we die‎.Our Lord! Grant us what You have promised us through Your messengers and do not put us to shame on Judgment Day—for certainly You never fail in Your promise”","From the closing verses of Aal ‘Imran, on the signs of creation.","An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا آمَنَّا فَاكْتُبْنَا مَعَ الشَّاهِدِينَ,"“Our Lord! We believe, so count us among the witnesses”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا ظَلَمْنَا أَنْفُسَنَا وَإِنْ لَمْ تَغْفِرْ لَنَا وَتَرْحَمْنَا لَنَكُونَنَّ مِنَ الْخَاسِرِينَ,"“Our Lord! We have wronged ourselves. If You do not forgive us and have mercy on us, we will certainly be losers”",The words of Adam and his wife after their slip.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا لَا تَجْعَلْنَا مَعَ الْقَوْمِ الظَّالِمِينَ,“Our Lord! Do not join us with the wrongdoing people”,,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا لَا تَجْعَلْنَا فِتْنَةً لِلْقَوْمِ الظَّالِمِينَ,“Our Lord! Do not subject us to the persecution of the oppressive people”,The prayer of the believers among the people of Musa.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ إِنِّي أَعُوذُ بِكَ أَنْ أَسْأَلَكَ مَا لَيْسَ لِي بِهِ عِلْمٌ وَإِلَّا تَغْفِرْ لِي وَتَرْحَمْنِي أَكُنْ مِنَ الْخَاسِرِينَ,"“My Lord, I seek refuge in You from asking You about what I have no knowledge of, and unless You forgive me and have mercy on me, I will be one of the losers”",The prayer of Nuh after the Flood.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ اجْعَلْ هَٰذَا الْبَلَدَ آمِنًا وَاجْنُبْنِي وَبَنِيَّ أَنْ نَعْبُدَ الْأَصْنَامَ,"“My Lord! Make this city ˹of Mecca˺ secure, and keep me and my children away from the worship of idols”",From the prayers of Ibrahim for Mecca and his descendants.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ اجْعَلْنِي مُقِيمَ الصَّلَاةِ وَمِنْ ذُرِّيَّتِي رَبَّنَا وَتَقَبَّلْ دُعَاءِ,“My Lord! Make me and those ˹believers˺ of my descendants keep up prayer. Our Lord! Accept my prayers”,,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا اغْفِرْ لِي وَلِوَالِدَيَّ وَلِلْمُؤْمِنِينَ يَوْمَ يَقُومُ الْحِسَابُ,"“Our Lord! Forgive me, my parents, and the believers on the Day when the judgment will come to pass”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ ارْحَمْهُمَا كَمَا رَبَّيَانِي صَغِيرًا,“My Lord! Be merciful to them as they raised me when I was young”,The Qur’an’s prayer for one’s parents.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ أَدْخِلْنِي مُدْخَلَ صِدْقٍ وَأَخْرِجْنِي مُخْرَجَ صِدْقٍ وَاجْعَلْ لِي مِنْ لَدُنْكَ سُلْطَانًا نَصِيرًا,“My Lord! Grant me an honourable entrance and an honourable exit and give me a supporting authority from Yourself”,,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا آتِنَا مِنْ لَدُنْكَ رَحْمَةً وَهَيِّئْ لَنَا مِنْ أَمْرِنَا رَشَدًا,“Our Lord! Grant us mercy from Yourself and guide us rightly through our ordeal”,The prayer of the young believers of the Cave.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ زِدْنِي عِلْمًا,“My Lord! Increase me in knowledge”,A prayer for increase in beneficial knowledge.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),لَا إِلَٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,“There is no god ˹worthy of worship˺ except You. Glory be to You! I have certainly done wrong”,The prayer of Yunus (Dhu’n-Nun) from within the whale.,"A small lone figure within softly-lit deep blue water, a single ray of mercy piercing the dark from above."
Quranic Supplications,(no name),رَبِّ لَا تَذَرْنِي فَرْدًا وَأَنْتَ خَيْرُ الْوَارِثِينَ,"“My Lord! Do not leave me childless, though You are the Best of Successors”",The prayer of Zakariyya for offspring.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ أَنْزِلْنِي مُنْزَلًا مُبَارَكًا وَأَنْتَ خَيْرُ الْمُنْزِلِينَ,"“My Lord! Allow me a blessed landing, for You are the best accommodator”",The prayer of Nuh on boarding the Ark.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ أَعُوذُ بِكَ مِنْ هَمَزَاتِ الشَّيَاطِينِ وَأَعُوذُ بِكَ رَبِّ أَنْ يَحْضُرُونِ,"“My Lord! I seek refuge in You from the temptations of the devils And I seek refuge in You, my Lord, that they ˹even˺ come near me”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا آمَنَّا فَاغْفِرْ لَنَا وَارْحَمْنَا وَأَنْتَ خَيْرُ الرَّاحِمِينَ,"“Our Lord! We have believed, so forgive us and have mercy on us, for You are the best of those who show mercy”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ اغْفِرْ وَارْحَمْ وَأَنْتَ خَيْرُ الرَّاحِمِينَ,"“My Lord! Forgive and have mercy, for You are the best of those who show mercy”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ أَوْزِعْنِي أَنْ أَشْكُرَ نِعْمَتَكَ الَّتِي أَنْعَمْتَ عَلَيَّ وَعَلَى وَالِدَيَّ وَأَنْ أَعْمَلَ صَالِحًا تَرْضَاهُ وَأَدْخِلْنِي بِرَحْمَتِكَ فِي عِبَادِكَ الصَّالِحِينَ,"“My Lord! Inspire me to ˹always˺ be thankful for Your favours which You have blessed me and my parents with, and to do good deeds that please you. Admit me, by Your mercy, into ˹the company of˺ Your righteous servants”",The prayer of Sulayman in gratitude.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ إِنِّي ظَلَمْتُ نَفْسِي فَاغْفِرْ لِي,"“My Lord! I have definitely wronged my soul, so forgive me.”",The prayer of Musa after his error in Egypt.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ بِمَا أَنْعَمْتَ عَلَيَّ فَلَنْ أَكُونَ ظَهِيرًا لِلْمُجْرِمِينَ,"“My Lord! For all Your favours upon me, I will never side with the wicked”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ نَجِّنِي مِنَ الْقَوْمِ الظَّالِمِينَ,“My Lord! Deliver me from the wrongdoing people”,,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ إِنِّي لِمَا أَنْزَلْتَ إِلَيَّ مِنْ خَيْرٍ فَقِيرٌ,“My Lord! I am truly in ˹desperate˺ need of whatever provision You may have in store for me”,"The prayer of Musa, alone and in need in Madyan.","An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ انْصُرْنِي عَلَى الْقَوْمِ الْمُفْسِدِينَ,“My Lord! Help me against the people of corruption”,,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا اصْرِفْ عَنَّا عَذَابَ جَهَنَّمَ إِنَّ عَذَابَهَا كَانَ غَرَامًا,"“Our Lord! Keep the punishment of Hell away from us, for its punishment is indeed unrelenting”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا هَبْ لَنَا مِنْ أَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ وَاجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا,"“Our Lord! Bless us with ˹pious˺ spouses and offspring who will be the joy of our hearts, and make us models for the righteous”",The prayer of the servants of the Most Merciful.,"Two silhouettes side by side beneath a soft canopy of light, small star-blossoms drifting gently down between them."
Quranic Supplications,(no name),رَبَّنَا وَسِعْتَ كُلَّ شَيْءٍ رَحْمَةً وَعِلْمًا فَاغْفِرْ لِلَّذِينَ تَابُوا وَاتَّبَعُوا سَبِيلَكَ وَقِهِمْ عَذَابَ الْجَحِيمِ، رَبَّنَا وَأَدْخِلْهُمْ جَنَّاتِ عَدْنٍ الَّتِي وَعَدْتَهُمْ وَمَنْ صَلَحَ مِنْ آبَائِهِمْ وَأَزْوَاجِهِمْ وَذُرِّيَّاتِهِمْ إِنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ,"“Our Lord! You encompass everything in ˹Your˺ mercy and knowledge. So forgive those who repent and follow Your Way, and protect them from the torment of the Hellfire”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ أَوْزِعْنِي أَنْ أَشْكُرَ نِعْمَتَكَ الَّتِي أَنْعَمْتَ عَلَيَّ وَعَلَى وَالِدَيَّ وَأَنْ أَعْمَلَ صَالِحًا تَرْضَاهُ وَأَصْلِحْ لِي فِي ذُرِّيَّتِي إِنِّي تُبْتُ إِلَيْكَ وَإِنِّي مِنَ الْمُسْلِمِينَ,"“My Lord! Inspire me to ˹always˺ be thankful for Your favours which You blessed me and my parents with, and to do good deeds that please You. And instil righteousness in my offspring. I truly repent to You, and I truly submit ˹to Your Will˺”",,"Hands cupped in repentance, soft drops of forgiving light falling from above onto the open palms."
Quranic Supplications,(no name),رَبِّ هَبْ لِي مِنَ الصَّالِحِينَ,“My Lord! Bless me with righteous offspring”,The prayer of Ibrahim for righteous offspring.,"A pair of cupped hands holding two small luminous seedlings, a gentle ray of light nurturing them from above."
Quranic Supplications,(no name),رَبَّنَا اغْفِرْ لَنَا وَلِإِخْوَانِنَا الَّذِينَ سَبَقُونَا بِالْإِيمَانِ وَلَا تَجْعَلْ فِي قُلُوبِنَا غِلًّا لِلَّذِينَ آمَنُوا رَبَّنَا إِنَّكَ رَؤُوفٌ رَحِيمٌ,"“Our Lord! Forgive us and our fellow believers who preceded us in faith, and do not allow bitterness into our hearts towards those who believe. Our Lord! Indeed, You are Ever Gracious, Most Merciful”",,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبَّنَا عَلَيْكَ تَوَكَّلْنَا وَإِلَيْكَ أَنَبْنَا وَإِلَيْكَ الْمَصِيرُ، رَبَّنَا لَا تَجْعَلْنَا فِتْنَةً لِلَّذِينَ كَفَرُوا وَاغْفِرْ لَنَا رَبَّنَا إِنَّكَ أَنْتَ الْعَزِيزُ الْحَكِيمُ,“Our Lord! In You we trust. And to You we ˹always˺ turn. And to You is the final return”,,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Quranic Supplications,(no name),رَبِّ اغْفِرْ لِي وَلِوَالِدَيَّ وَلِمَنْ دَخَلَ بَيْتِيَ مُؤْمِنًا وَلِلْمُؤْمِنِينَ وَالْمُؤْمِنَاتِ وَلَا تَزِدِ الظَّالِمِينَ إِلَّا تَبَارًا,"“My Lord! Forgive me, my parents, and whoever enters my house in faith, and ˹all˺ believing men and women. And increase the wrongdoers only in destruction”",The prayer of Nuh for the believers.,"An open Quran on a wooden rehl with a soft gold ray rising from the page, hands gently cupped to receive it."
Prophetic Supplications,(no name),اللَّهُمَّ آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,"“O Allah! Give us in this world that which is good and in the Hereafter that which is good, and save us from the torment of the Fire.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ فِتْنَةِ النَّارِ، وَفِتْنَةِ الْقَبْرِ، وَعَذَابِ الْقَبْرِ، وَشَرِّ فِتْنَةِ الْغِنَى، وَشَرِّ فِتْنَةِ الْفَقْرِ، اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ شَرِّ فِتْنَةِ الْمَسِيحِ الدَّجَّالِ، اللَّهُمَّ اغْسِلْ قَلْبِي بِمَاءِ الثَّلْجِ وَالْبَرَدِ، وَنَقِّ قَلْبِي مِنَ الْخَطَايَا كَمَا نَقَّيْتَ الثَّوْبَ الْأَبْيَضَ مِنَ الدَّنَسِ، وَبَاعِدْ بَيْنِي وَبَيْنَ خَطَايَايَ كَمَا بَاعَدْتَ بَيْنَ الْمَشْرِقِ وَالْمَغْرِبِ، اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْكَسَلِ وَالْمَأْثَمِ وَالْمَغْرَمِ,"“O Allah! I ask refuge with You from the torment of the Fire, and ordeal in the grave, and the punishment of the grave, and the evil (brought by) affluence and poverty. O Allah! I ask refuge with You from the trials of the Masihud Dajjal (False Messiah). O Allah, cleanse my heart with snow and cool water, and purify my heart from misdeeds as You purify the white cloth from dirt, and keep me away from sinful acts as You keep the East far away from the West. O Allah! I ask refuge with You from being lazy, sinful and having liabilities (due to debts).”",,"A simple white-shrouded form at peace under a soft starlit sky, a gentle column of mercy-light descending from above."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْعَجْزِ وَالْكَسَلِ، وَالْجُبْنِ وَالْهَرَمِ وَالْبُخْلِ، وَأَعُوذُ بِكَ مِنْ عَذَابِ الْقَبْرِ، وَمِنْ فِتْنَةِ الْمَحْيَا وَالْمَمَاتِ,"“O Allah! I ask refuge with You from weakness, indolence, cowardliness, senility and miserliness. I (also) ask refuge with You from punishment of the grave, and from the trials of life and the ordeals of death.”",,"A simple white-shrouded form at peace under a soft starlit sky, a gentle column of mercy-light descending from above."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ جَهْدِ الْبَلَاءِ، وَدَرَكِ الشَّقَاءِ، وَسُوءِ الْقَضَاءِ، وَشَمَاتَةِ الْأَعْدَاءِ,"“O Allah! I ask refuge with You against any severe trial and bad misfortune, and adverse judgment and satire of the enemies.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ أَصْلِحْ لِي دِينِي الَّذِي هُوَ عِصْمَةُ أَمْرِي، وَأَصْلِحْ لِي دُنْيَايَ الَّتِي فِيهَا مَعَاشِي، وَأَصْلِحْ لِي آخِرَتِي الَّتِي فِيهَا مَعَادِي، وَاجْعَلِ الْحَيَاةَ زِيَادَةً لِي فِي كُلِّ خَيْرٍ، وَاجْعَلِ الْمَوْتَ رَاحَةً لِي مِنْ كُلِّ شَرٍّ,"“O Allah! Make upright my religion which is the basis of my activity, make my world suited for my best subsistence, and the Hereafter my best Final Destination, and make life easy for me (to earn) all good and make death for me as relief from all evils.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَسْأَلُكَ الْهُدَى وَالتُّقَى وَالْعَفَافَ وَالْغِنَى,"“O Allah! I am asking You Guidance, Piety, Virtue and Wealth.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْعَجْزِ وَالْكَسَلِ، وَالْجُبْنِ وَالْبُخْلِ وَالْهَرَمِ، وَعَذَابِ الْقَبْرِ، اللَّهُمَّ آتِ نَفْسِي تَقْوَاهَا، وَزَكِّهَا أَنْتَ خَيْرُ مَنْ زَكَّاهَا، أَنْتَ وَلِيُّهَا وَمَوْلَاهَا، اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ عِلْمٍ لَا يَنْفَعُ، وَمِنْ قَلْبٍ لَا يَخْشَعُ، وَمِنْ نَفْسٍ لَا تَشْبَعُ، وَمِنْ دَعْوَةٍ لَا يُسْتَجَابُ لَهَا,"“O Allah! I ask refuge with You from weakness, indolence, cowardliness, senility and miserliness. I (also) ask refuge with You from punishment of the grave. O Allah! Give myself its piety (fear to You), and purify it as You are the Best of those who purify, You are its Protector and Master. O Allah! I ask refuge with You from knowledge that which is worthless, from heart that which is not subservient (to You), from self that which is unsatisfied, and from invocation that which is not accepted.”",,"A simple white-shrouded form at peace under a soft starlit sky, a gentle column of mercy-light descending from above."
Prophetic Supplications,(no name),اللَّهُمَّ اهْدِنِي وَسَدِّدْنِي، اللَّهُمَّ إِنِّي أَسْأَلُكَ الْهُدَى وَالسَّدَادَ,“O Allah! Guide me and direct me. O Allah! I ask You Guidance and Direction.”,,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ زَوَالِ نِعْمَتِكَ، وَتَحَوُّلِ عَافِيَتِكَ، وَفُجَاءَةِ نِقْمَتِكَ، وَجَمِيعِ سَخَطِكَ,"“O Allah! I ask refuge with You from the cessation of Your Blessing, and Your Protection (of me from harm), and Your sudden Wrath and all that displeased You.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ أَكْثِرْ مَالِي وَوَلَدِي، وَبَارِكْ لِي فِيمَا أَعْطَيْتَنِي، وَأَطِلْ حَيَاتِي عَلَى طَاعَتِكَ، وَأَحْسِنْ عَمَلِي وَاغْفِرْ لِي,"“O Allah! Increase my wealth and (provide me) more children, bless for me all that You give me (wealth, children, knowledge, etc.), prolong my life in obeying You, (help me) excel in my (Islamic) activities, and forgive me.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),لَا إِلَٰهَ إِلَّا اللَّهُ الْعَظِيمُ الْحَلِيمُ، لَا إِلَٰهَ إِلَّا اللَّهُ رَبُّ الْعَرْشِ الْعَظِيمِ، لَا إِلَٰهَ إِلَّا اللَّهُ رَبُّ السَّمَوَاتِ وَرَبُّ الْأَرْضِ وَرَبُّ الْعَرْشِ الْكَرِيمِ,"“None has the right to be worshipped but Allah, the Great Forbearer. None has the right to be worshipped but Allah, Lord of the Great Throne. None has the right to be worshipped but Allah, Lord of the Heavens and the Earth and Lord of the Noble Throne.”",,"Calligraphy of the Kalimah glowing in the sky, chains of slavery breaking and falling toward the earth below."
Prophetic Supplications,(no name),اللَّهُمَّ رَحْمَتَكَ أَرْجُو، فَلَا تَكِلْنِي إِلَى نَفْسِي طَرْفَةَ عَيْنٍ، وَأَصْلِحْ لِي شَأْنِي كُلَّهُ، لَا إِلَٰهَ إِلَّا أَنْتَ,"“O Allah! Your Mercy is what I am yearning for, so (please) don't stop guiding myself even in a blink of an eye, set right for me all of my actions, none has the right to be worshipped except You (O Allah).”",,"Calligraphy of the Kalimah glowing in the sky, chains of slavery breaking and falling toward the earth below."
Prophetic Supplications,(no name),لَا إِلَٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ,"“La ilaha illa anta [none has the right to be worshipped but You (O Allah)], Glorified (and Exalted) be You [above all that (evil) they associate with You]! Truly, I have been of the wrong-doers.”",,"Calligraphy of the Kalimah glowing in the sky, chains of slavery breaking and falling toward the earth below."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي عَبْدُكَ ابْنُ عَبْدِكَ ابْنُ أَمَتِكَ، نَاصِيَتِي بِيَدِكَ، مَاضٍ فِيَّ حُكْمُكَ، عَدْلٌ فِيَّ قَضَاؤُكَ، أَسْأَلُكَ بِكُلِّ اسْمٍ هُوَ لَكَ، سَمَّيْتَ بِهِ نَفْسَكَ، أَوْ أَنْزَلْتَهُ فِي كِتَابِكَ، أَوْ عَلَّمْتَهُ أَحَدًا مِنْ خَلْقِكَ، أَوِ اسْتَأْثَرْتَ بِهِ فِي عِلْمِ الْغَيْبِ عِنْدَكَ، أَنْ تَجْعَلَ الْقُرْآنَ رَبِيعَ قَلْبِي، وَنُورَ صَدْرِي، وَجَلَاءَ حُزْنِي، وَذَهَابَ هَمِّي,"“O Allah! I am Your slave, son of Your male and female slaves, my thoughts are in Your Hand, Your Command I must endeavor to (fully and) continuously fulfill, You are Just in Your Commands (to me). I am asking You with all Your Names that which You named for Yourself, or revealed in Your Book, or You taught to one of Your creatures, or that which You keep in the unseen knowledge with You; to make the Qur'an the life of my heart, the light of my chest, reliever of my grief, and remover of my worries.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ مُصَرِّفَ الْقُلُوبِ، صَرِّفْ قُلُوبَنَا عَلَى طَاعَتِكَ,"“O Allah! (He Who) guides the hearts, (please) guide our hearts to obey You.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),يَا مُقَلِّبَ الْقُلُوبِ، ثَبِّتْ قَلْبِي عَلَى دِينِكَ,“O (He Who) alters the hearts; make firm my heart upon Your religion.”,,"A small glowing heart shielded by a translucent dome of light, dark whispering wisps held back at its surface."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ,“O Allah! Grant me good well-being here on Earth and in the Hereafter.”,,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ أَحْسِنْ عَاقِبَتَنَا فِي الْأُمُورِ كُلِّهَا، وَأَجِرْنَا مِنْ خِزْيِ الدُّنْيَا وَعَذَابِ الْقَبْرِ,“O Allah! Give us good rewards for all our deeds; save us from the disgrace of this life and from the punishment of the grave.”,,"A simple white-shrouded form at peace under a soft starlit sky, a gentle column of mercy-light descending from above."
Prophetic Supplications,(no name),رَبِّ أَعِنِّي وَلَا تُعِنْ عَلَيَّ، وَانْصُرْنِي وَلَا تَنْصُرْ عَلَيَّ، وَامْكُرْ لِي وَلَا تَمْكُرْ عَلَيَّ، اجْعَلْنِي لَكَ شَكَّارًا، لَكَ ذَكَّارًا، لَكَ رَهَّابًا، لَكَ مِطْوَاعًا، إِلَيْكَ مُخْبِتًا أَوَّاهًا مُنِيبًا، رَبِّ تَقَبَّلْ تَوْبَتِي، وَاغْسِلْ حَوْبَتِي، وَأَجِبْ دَعْوَتِي، وَثَبِّتْ حُجَّتِي، وَاهْدِ قَلْبِي، وَسَدِّدْ لِسَانِي، وَاسْلُلْ سَخِيمَةَ قَلْبِي,"“Lord! Help me to be mindful of good deeds and not of bad ones, provide me victory for good and not for bad, give me intellect for good not for bad, make me thankful to You (O Allah), praying to You (Alone), fearing You (Alone), obeying You (Alone), submissive to You (O Allah), and penitent to You (O Allah). Accept my repentance, purify me, answer my prayer, establish me firmly (in Your religion), guide my heart, direct my tongue (to say Right), and eliminate the black spots from my heart.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ شَرِّ سَمْعِي، وَمِنْ شَرِّ بَصَرِي، وَمِنْ شَرِّ لِسَانِي، وَمِنْ شَرِّ قَلْبِي، وَمِنْ شَرِّ مَنِيِّي,"“O Allah! I ask refuge with You from the badness of my hearing, from the immorality of my vision, from the ruthlessness of my word, from the wickedness of my heart and from impiety of my semen.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
Prophetic Supplications,(no name),اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,"“O Allah! You are the Forgiver, the Generous; You love those who repent, so (please) forgive me.”",,"A pair of open hands raised in quiet supplication beneath a soft halo of light, prayer beads resting nearby."
